In,opens,high,low,close,ema6,ema12,ema24,labels,prediction,Datetime,profit,Trades
0,26.184999465942383,26.712499618530273,25.639999389648438,25.96500015258789,25.723198136342962,25.678170167802644,24.52218516105729,nn,nn,2017-05-02,2.3114113954580873,1
1,26.084999084472656,32.60749816894531,25.577499389648438,31.97249984741211,27.508712910934147,26.646528580050255,25.118210335965674,nn,nn,2017-05-09,2.3114113954580873,1
2,32.38999938964844,34.55500030517578,31.762500762939453,34.0,29.363366364952963,27.77783187542714,25.828753509088422,nn,nn,2017-05-16,2.3114113954580873,1
3,34.442501068115234,36.31999969482422,33.9275016784668,35.459999084472656,31.105261427672875,28.959703753741834,26.59925315511916,nn,nn,2017-05-23,2.3114113954580873,1
4,35.92499923706055,36.75,35.51250076293945,35.90999984741211,32.478043833312654,30.028980075844952,27.344112890502597,nn,nn,2017-05-30,2.3114113954580873,1
5,35.744998931884766,42.125,35.627498626708984,37.400001525878906,33.884317459760155,31.162983375850175,28.148583981332703,nn,nn,2017-06-06,2.3114113954580873,1
6,36.470001220703125,38.692501068115234,35.52750015258789,37.904998779296875,35.03308355105636,32.200216514841976,28.929097165169836,nn,nn,2017-06-13,2.3114113954580873,1
7,38.352500915527344,40.435001373291016,38.30500030517578,38.45750045776367,36.01148838154416,33.16287558298377,29.691369428577342,nn,nn,2017-06-20,2.3114113954580873,1
8,38.790000915527344,39.150001525878906,35.875,36.13999938964844,36.0482058124311,33.62089463016295,30.20725982546303,nn,nn,2017-06-27,2.3114113954580873,1
9,36.26250076293945,36.875,34.64500045776367,36.689998626708984,36.231575187939065,34.09306447578542,30.725878929562707,nn,nn,2017-07-04,2.3114113954580873,1
10,37.435001373291016,41.57500076293945,37.16999816894531,41.23749923706055,37.66183920197378,35.19220828521236,31.566808554162535,nn,nn,2017-07-11,2.3114113954580873,1
11,41.58250045776367,42.32500076293945,40.32500076293945,42.025001525878906,38.908457008803815,36.243407245314906,32.40346399189984,nn,nn,2017-07-18,2.3114113954580873,1
12,42.09749984741211,42.48249816894531,39.38999938964844,41.09749984741211,39.533897819834756,36.99019072256063,33.09898686034082,nn,nn,2017-07-25,2.3114113954580873,1
13,41.23500061035156,42.51750183105469,40.154998779296875,41.8025016784668,40.18207035087248,37.7305462542385,33.7952680457909,nn,nn,2017-08-01,2.3114113954580873,1
14,42.09749984741211,43.63999938964844,38.227500915527344,38.9900016784668,39.84147930161371,37.924308627196694,34.21084673640497,nn,nn,2017-08-08,2.3114113954580873,1
15,39.91749954223633,42.41749954223633,39.79999923706055,40.375,39.99391378686693,38.301338069166434,34.70397899749257,nn,nn,2017-08-15,2.3114113954580873,1
16,40.622501373291016,41.81999969482422,39.342498779296875,40.95249938964844,40.26779538766165,38.70920904154828,35.20386062886504,nn,nn,2017-08-22,2.3114113954580873,1
17,41.14500045776367,42.974998474121094,40.564998626708984,42.6150016784668,40.93842575646312,39.31010021645882,35.79675191283318,nn,nn,2017-08-29,2.3114113954580873,1
18,42.095001220703125,42.14500045776367,40.6775016784668,40.92250061035156,40.93387571471696,39.55816181551924,36.20681180863465,nn,nn,2017-09-05,2.3114113954580873,1
19,41.3849983215332,45.02750015258789,41.33000183105469,45.02750015258789,42.1034826969658,40.399598482760574,36.91246687615091,nn,nn,2017-09-12,2.3114113954580873,1
20,46.28499984741211,47.79999923706055,44.40250015258789,44.75,42.85963049783271,41.06889102387433,37.53946952605884,nn,nn,2017-09-19,2.3114113954580873,1
21,44.4375,44.932498931884766,42.540000915527344,44.692501068115234,43.383307803627716,41.626369492219084,38.111712049423346,nn,nn,2017-09-26,2.3114113954580873,1
22,45.20000076293945,45.5,44.25,45.32500076293945,43.93807722057392,42.195389687714524,38.68877514650463,nn,nn,2017-10-03,2.3114113954580873,1
23,45.6974983215332,48.75,45.50749969482422,48.647499084472656,45.28362632454499,43.18802190260039,39.48547306154207,nn,nn,2017-10-10,2.3114113954580873,1
24,48.95000076293945,54.66749954223633,47.79249954223633,54.03499984741211,51.361249923706055,51.361249923706055,51.361249923706055,54.66749954223633,51.26141215839754,2017-10-11,2.3114113954580873,1
200,38.790000915527344,39.150001525878906,35.875,36.13999938964844,36.0482058124311,33.62089463016295,30.20725982546303,nn,nn,2017-06-27,3.217781147935625,2
201,36.26250076293945,36.875,34.64500045776367,36.689998626708984,36.231575187939065,34.09306447578542,30.725878929562707,nn,nn,2017-07-04,3.217781147935625,2
202,37.435001373291016,41.57500076293945,37.16999816894531,41.23749923706055,37.66183920197378,35.19220828521236,31.566808554162535,nn,nn,2017-07-11,3.217781147935625,2
203,41.58250045776367,42.32500076293945,40.32500076293945,42.025001525878906,38.908457008803815,36.243407245314906,32.40346399189984,nn,nn,2017-07-18,3.217781147935625,2
